,wavelength,sensitivity
51,300,0.002
52,301,0.002
53,302,0.002
54,303,0.003
55,304,0.003
56,305,0.003
57,306,0.004
58,307,0.004
59,308,0.004
60,309,0.005
61,310,0.007
62,311,0.011
63,312,0.014
64,313,0.018
65,314,0.022
66,315,0.025
67,316,0.064
68,317,0.078
69,318,0.091
70,319,0.104
71,320,0.188
72,321,0.223
73,322,0.258
74,323,0.399
75,324,0.418
76,325,0.436
77,326,0.455
78,327,0.473
79,328,0.492
80,329,0.518
81,330,0.545
82,331,0.572
83,332,0.599
84,333,0.615
85,334,0.629
86,335,0.643
87,336,0.658
88,337,0.672
89,338,0.686
90,339,0.7
91,340,0.714
92,341,0.728
93,342,0.742
94,343,0.756
95,344,0.77
96,345,0.784
97,346,0.798
98,347,0.807
99,348,0.814
100,349,0.821
101,350,0.828
102,351,0.835
103,352,0.842
104,353,0.849
105,354,0.856
106,355,0.863
107,356,0.87
108,357,0.876
109,358,0.882
110,359,0.888
111,360,0.894
112,361,0.9
113,362,0.906
114,363,0.912
115,364,0.918
116,365,0.924
117,366,0.93
118,367,0.935
119,368,0.937
120,369,0.938
121,370,0.94
122,371,0.941
123,372,0.943
124,373,0.945
125,374,0.946
126,375,0.948
127,376,0.95
128,377,0.951
129,378,0.954
130,379,0.956
131,380,0.958
132,381,0.961
133,382,0.963
134,383,0.965
135,384,0.967
136,385,0.97
137,386,0.972
138,387,0.974
139,388,0.976
140,389,0.978
141,390,0.98
142,391,0.982
143,392,0.984
144,393,0.986
145,394,0.987
146,395,0.988
147,396,0.99
148,397,0.991
149,398,0.992
150,399,0.994
151,400,0.995
152,401,0.996
153,402,0.998
154,403,0.998
155,404,0.999
156,405,0.999
157,406,1
158,407,1
159,408,1
160,409,1
161,410,1
162,411,1
163,412,1
164,413,1
165,414,1
166,415,1
167,416,1
168,417,1
169,418,1
170,419,1
171,420,1
172,421,1
173,422,1
174,423,1
175,424,1
176,425,1
177,426,1
178,427,1
179,428,1
180,429,1
181,430,1
182,431,1
183,432,1
184,433,1
185,434,1
186,435,1
187,436,1
188,437,1
189,438,1
190,439,1
191,440,1
192,441,1
193,442,1
194,443,1
195,444,1
196,445,1
197,446,1
198,447,1
199,448,1
200,449,1
201,450,1
202,451,1
203,452,1
204,453,1
205,454,1
206,455,1
207,456,1
208,457,1
209,458,1
210,459,1
211,460,1
212,461,1
213,462,1
214,463,1
215,464,1
216,465,1
217,466,1
218,467,1
219,468,1
220,469,1
221,470,1
222,471,1
223,472,1
224,473,1
225,474,1
226,475,1
227,476,1
228,477,1
229,478,1
230,479,1
231,480,1
232,481,1
233,482,1
234,483,1
235,484,1
236,485,1
237,486,1
238,487,1
239,488,1
240,489,1
241,490,1
242,491,1
243,492,1
244,493,1
245,494,1
246,495,1
247,496,1
248,497,1
249,498,1
250,499,1
251,500,1
252,501,1
253,502,1
254,503,1
255,504,1
256,505,1
257,506,1
258,507,1
259,508,1
260,509,1
261,510,1
262,511,1
263,512,1
264,513,1
265,514,1
266,515,1
267,516,1
268,517,1
269,518,1
270,519,1
271,520,1
272,521,1
273,522,1
274,523,1
275,524,1
276,525,1
277,526,1
278,527,1
279,528,1
280,529,1
281,530,1
282,531,1
283,532,1
284,533,1
285,534,1
286,535,1
287,536,1
288,537,1
289,538,1
290,539,1
291,540,1
292,541,1
293,542,1
294,543,1
295,544,1
296,545,1
297,546,1
298,547,1
299,548,1
300,549,1
301,550,1
302,551,1
303,552,1
304,553,1
305,554,1
306,555,1
307,556,1
308,557,1
309,558,1
310,559,1
311,560,1
312,561,1
313,562,1
314,563,1
315,564,1
316,565,1
317,566,1
318,567,1
319,568,1
320,569,1
321,570,1
322,571,1
323,572,1
324,573,1
325,574,1
326,575,1
327,576,1
328,577,1
329,578,1
330,579,1
331,580,1
332,581,1
333,582,1
334,583,1
335,584,1
336,585,1
337,586,1
338,587,1
339,588,1
340,589,1
341,590,1
342,591,1
343,592,1
344,593,1
345,594,1
346,595,1
347,596,1
348,597,1
349,598,1
350,599,1
351,600,1
352,601,1
353,602,1
354,603,1
355,604,1
356,605,1
357,606,1
358,607,1
359,608,1
360,609,1
361,610,1
362,611,1
363,612,1
364,613,1
365,614,1
366,615,1
367,616,1
368,617,1
369,618,1
370,619,1
371,620,1
372,621,1
373,622,1
374,623,1
375,624,1
376,625,1
377,626,1
378,627,1
379,628,1
380,629,1
381,630,1
382,631,1
383,632,1
384,633,1
385,634,1
386,635,1
387,636,1
388,637,1
389,638,1
390,639,1
391,640,1
392,641,1
393,642,1
394,643,1
395,644,1
396,645,1
397,646,1
398,647,1
399,648,1
400,649,1
401,650,1
402,651,1
403,652,1
404,653,1
405,654,1
406,655,1
407,656,1
408,657,1
409,658,1
410,659,1
411,660,1
412,661,1
413,662,1
414,663,1
415,664,1
416,665,1
417,666,1
418,667,1
419,668,1
420,669,1
421,670,1
422,671,1
423,672,1
424,673,1
425,674,1
426,675,1
427,676,1
428,677,1
429,678,1
430,679,1
431,680,1
432,681,1
433,682,1
434,683,1
435,684,1
436,685,1
437,686,1
438,687,1
439,688,1
440,689,1
441,690,1
442,691,1
443,692,1
444,693,1
445,694,1
446,695,1
447,696,1
448,697,1
449,698,1
450,699,1
451,700,1
